"Title","ID","Created Date","Updated Date","Owner","project","productType","details","file","fileType","fileNumber","projectType"
,"0d226682-b44b-4388-ae26-8177331e572a",2023-12-21T10:09:58Z,2023-12-21T12:33:55Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","dc7bf0b7-56c7-4aa3-bdac-5afae4d9d111","3393a717-a333-48a2-a785-ba2eebc00f68","<p><span style=""font-weight:bold"">WebApp UI/UX</span></p><p>• Wix Stuio (Responsive Site)</p><p>• Website Wireframe</p><p> </p><p><span style=""font-weight:bold"">Design</span></p><p>• Animations (will be limted only to viewport instances, No hard animations required)</p><p>• Vectors Icon (Created only based on the Content If needed)  </p><p> </p><p><span style=""font-weight:bold"">Database Configuration</span></p><p>- Database Creation and alignment</p><p> </p><p><span style=""font-weight:bold"">Static Pages</span></p><p>• Home Page</p><p>- Design such as Layout/Sections will adapt based on their whole content.</p><p>- Design should follow something Realistic yet simple but creative</p><p>- Creative Banners (If needed - will be aligned on the wireframes that will be sent (Static but with transitions - One per page)</p><p> </p><p>• About Us Page</p><p>- Design such as Layout/Sections will adapt based on their whole content.</p><p> </p><p>• Partners Page</p><p>- Gallery Page of their Partners together with logo and some descriptive elements.</p><p>- Will not require any subpages or site actions</p><p> </p><p>• Projects</p><p>- Gallery Page of their Projects togther with Images and some descriptive elements.</p><p>- Will not require any subpages or site actions</p><p> </p><p>• Contact us</p><p>- Basic Contact Us pages; Website contact informations &amp; Google Street adress Map (If needed) with Basic Inquiry Form (Sendgrid API).</p><p> </p><p><span style=""font-weight:bold"">Dynamic Pages</span></p><p>• Product Page (Main Page)</p><p>- 6 Main Category listing</p><p>- Each Main Category has its own Page connecting to a dynamic pages of the products (see below structure)</p><p>- Dynamic Pages Layout and Style (will be subject for discussion with the team and client after the submission of a wireframe sample for Kitchen Emission systems product; as some product might have their own layout)</p><p> </p><p>- Kitchen Emission Systems (Category Page)</p><p>Dynamic Page</p><p>1. EK series Ecology units</p><p>2. ES series Electrostatic Precipitator</p><p>3. EH series Exhaust Hoods</p><p> </p><p>- Indoor air quality</p><p>Dynamic Page</p><p>1. EP series Ducted Inline Filter Box</p><p>2. UP series UV sterilization</p><p>3. SP series Air Purification Range</p><p> </p><p>- Air conditioning systems</p><p>Dynamic Page</p><p>1. Fresh air handling units</p><p>2. DX systems</p><p>3. VRF system</p><p> </p><p>- Air Movement systems</p><p>Dynamic Page</p><p>1. Ventilation fans</p><p>2. Smoke Extract fans</p><p>3. Kitchen Extract fans</p><p> </p><p>- Air Balancing</p><p>Dynamic Page</p><p>1. Fire and smoke dampers.</p><p>2. Vollum control dampers</p><p>3. Cable operated dampers.</p><p> </p><p>- Industrial Ventilation</p><p>Dynamic Page</p><p>1. Pollution control units</p><p>2. Odor treatment systems</p><p>3. Dust collectors</p><p>4. Industrial fans.</p><p> </p><p> </p><p>• Technical Resources</p><p>- Main Page housing eight different Content connected to One Dynamic Page</p><p>- Design and Layout will be of 2 options</p><p>- One Paged</p><p>- Common Dynamic Page (like Product Page)</p><p> </p><p>-Dynamic Content/Pages</p><p>- Introduction To Kitchen Exhaust Design</p><p>- How electrostatic precipitator (ESP) Works</p><p>- Design And Selection for Electrostatic Precipitator</p><p>- Choosing Double Pass ESP</p><p>- Mounting Arrangements And Equipment Options</p><p>- Cleaning Your Esp</p><p>- Self-Regulating Power Pack</p><p>- UV Lights- Design and Terms</p><p> </p><p>• Functionality</p><p>- SendGrid API</p><p>- Subscription on Footer with capability of Sending the site visitor their PDF</p><p> </p><p> </p><p> </p>","90efa7ec-4932-4a6c-8029-85bdbca815c5","Documentation","FIL-492806","afcdcc00-4ed7-45f9-80de-42be32d36741"
,"0d6dc6a7-332b-44c0-92b4-9d0630fe49a3",2024-04-01T17:56:40Z,2024-04-01T17:56:47Z,"01f011dc-8d52-4de4-9524-780ccef3313b","20cad3a3-c682-432f-a530-448c8a803d70","64533648-470a-4167-b761-f81e1960ec5a","<ul><li>Social Media Business Accounts Creation</li><li>Profile Write-up with contacts and links</li><li>Brand mood board with grid preview</li><li>Content calendar for 12 posts</li><li>8 static images / 4 reels  in different formats:</li><li>Square (1:1)</li><li>Story (9:16)</li><li>Instagram highlight covers</li><li>Repurpose reels on TikTok</li><li>Social Media Post templates in PNG and AI file types – editable files</li></ul>","95677b5d-eb96-4c26-b594-774546e75e11","Documentation","FIL-382754",
,"23a48914-03dd-4ccc-95e8-3d7540e48ed5",2024-04-01T06:12:24Z,2024-04-02T06:21:26Z,"01f011dc-8d52-4de4-9524-780ccef3313b","2aecd8c8-af66-4dc1-acc8-86f4545f04fb","64533648-470a-4167-b761-f81e1960ec5a","<p>3 Months Social Media Marketing Retainer (May - July)</p><ul><li>Monthly content calendar and strategy</li><li>Monthly mood board (See Pitch Deck for mood board and content samples)</li><li>Asset creation (photos and videos from stock library of Mutant, Photoshoot/Videography and/or client)</li><li>16 posts per month on Instagram/Facebook (10 Static Images, 6 Reels - 30-60s) - repurposed as story</li><li>Tiktok - repurposed reels from Instagram</li><li>Set-up auto messaging and chat</li><li>Community Management</li><li>Monthly performance audit + Competitor Analysis</li><li>Pixel creation for remarketing ads</li></ul><p> </p><p><span style=""font-weight:bold"">Goal for the first month:</span></p><p>· Increase your social media followers organically (no bots/fake accounts) first month:</p><p>o TikTok  - 150-500 followers</p><p>o Instagram – 300 - 700 followers</p><p>· Increase your social media engagement rate</p><p>· Drive traffic to your website/booking page to increase potential reservations</p>","0dafbf47-9cd1-450d-8f03-7f3e20417cbf","Documentation","FIL-104733",
,"247358a5-e02b-4926-9d12-76073ab112ed",2024-01-23T06:12:31Z,2024-01-23T06:12:51Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","24c82f1b-47fb-4df0-b039-1155c759647b","5adee711-6197-4bbf-b057-460cfbc157db","<ul><li>4 Logo Options</li><li>Color Pallete</li><li>Business Cards</li><li>Social Media Templates</li><li>Receipt &amp; Invoices</li><li>Brand Guidelines / Brandbook</li></ul>","4666c5f3-06ef-496e-99d3-b80cee589a71","Documentation","FIL-465828",
,"2548ea29-3252-4d74-aa2c-a441ebff1a24",2024-04-01T06:21:15Z,2024-04-01T06:21:46Z,"01f011dc-8d52-4de4-9524-780ccef3313b","946ae734-e628-4852-9764-1d2b095c7df3","64533648-470a-4167-b761-f81e1960ec5a","<ul><li>1 month content calendar and strategy</li><li>Moodboard</li><li>Assets creation</li><li>15 posts (11 Static Images/Motion Graphic, 4 Reels - 30-60s) - repurposed as story</li><li>Tiktok - repurposed reels from Instagram</li><li>Set-up auto messaging and chat</li><li>Community Management</li><li>Bi-weekly analytics and reporting</li><li>Performance audit</li><li>Photoshoot &amp; videography (2 hours)</li></ul>","32f29cfa-d305-437f-8aa4-16b8dd2e8b4b","Documentation","FIL-292852",
,"25cca59c-b304-4fe6-8a80-9020e9b73063",2024-07-05T08:49:30Z,2024-07-05T08:49:37Z,"01f011dc-8d52-4de4-9524-780ccef3313b","f1111394-755f-4387-96a9-43d072f734b7","3393a717-a333-48a2-a785-ba2eebc00f68","<p><span style=""font-weight:bold"">You may use the same design as Mentora.</span></p><p> </p><p>Project Scope – Web Redesign with additional Features</p><p><span style=""font-weight:bold"">A.</span> <span style=""font-weight:bold"">Web Redesign</span></p><p>- Home Page</p><p>- About Us</p><p>- Contact Us</p><p>- Services/Courses</p><p>- Trading Tools</p><p>- Meet the Founder</p><p>- Best Trading Partner</p><p>- Trade Signals</p><p>- Community &amp; Discussion</p><p>· The redesign aims to provide user experience enhancements making it much more interactive and interesting</p><p><span style=""font-weight:bold"">Scopes Included</span></p><p>- Artworks/ Media assets</p><p>- Web Animations and Interaction (Limited only to Wix capabilities)</p><p><span style=""font-weight:bold"">A1. Home Page</span></p><p>Includes:</p><p>· Header: Logo, navigation menu</p><p>· Hero Section: Engaging image or video for Forex traders</p><p>· About Us Section: Brief introduction to the Forex trading company/organization</p><p>· Courses Overview: Highlights of key Forex trading services or courses offered</p><p>· Featured Trading Tools: Quick links to Tools Created</p><p>· Meet the Founder: Brief introduction to the founders or key team members</p><p>· Community &amp; Discussion Link: Encouragement to engage with the Forex trading community (Discord Link)</p><p>· Contact Information: Footer with contact details and social media links</p><p><span style=""font-weight:bold"">A2. About Us</span></p><p>Includes:</p><p>· Company Overview: History, mission statement, and core values</p><p>· Team Members: Brief bios and photos of team members</p><p>· Achievements: Milestones, awards, and recognitions</p><p>· Philosophy: Founding principles and vision</p><p>· Commitment: Customer service philosophy and quality commitment</p><p>· Testimonials: If required</p><p><span style=""font-weight:bold"">A3. Contact Us</span></p><p>Includes:</p><p>· Contact Form: Fields for name, email, subject, and message</p><p>· Contact Information: Phone number, email address, physical address (if applicable)</p><p>· Map: Office Location map (if applicable)</p><p>· Social Media Links: Links to social media profiles for additional contact options</p><p><span style=""font-weight:bold"">A4. Courses</span></p><p>Includes:</p><p>· Course Descriptions: Detailed descriptions of each course offered</p><p>· Benefits: Key benefits and outcomes for Traders</p><p>· Pricing: Pricing structure (if applicable)</p><p>· Testimonials: Customer testimonials or success stories related to courses</p><p>· Connected to Wix Online Programs (If techstack will be wix)</p><p><span style=""font-weight:bold"">A5. Trading Tools</span></p><p>Includes:</p><p>· Tool Descriptions: Overview and benefits of the trading tools</p><p>· Integration: API usage</p><p>· Tutorials/Guides: How-to guides or video tutorials for using Forex trading tools effectively (if applicable)</p><p>· User Feedback: Reviews or testimonials on the effectiveness of trading tools (if applicable)</p><p><span style=""font-weight:bold"">A6. Meet the Founder</span></p><p>Includes:</p><p>· Founder Profiles: Background, expertise, and contributions (Full Bio)</p><p>· Vision &amp; Mission: Founder&#x27;s vision &amp; Mission for starting the Forex trading company</p><p><span style=""font-weight:bold"">A7. Best Trading Partner</span></p><p>Includes:</p><p>· Partner Profiles: Overview of partner brokers, platforms, or other broker technology providers/partners</p><p><span style=""font-weight:bold"">A8. Trading Signals</span></p><p>Includes:</p><p>· Informative: Informations about plans and signals via VIP Trading Academy</p><p>· Offers: List available membership option via discord Platform</p><p><span style=""font-weight:bold"">A8. Community and Discussion</span></p><p>Includes:</p><p>· Discussion Forum: Redirect To Discord Group Channel</p><p>· Events: Schedule of webinars, workshops, or live trading sessions for Forex traders</p><p>· Informative: Additional Information about the Community</p><p><span style=""font-weight:bold"">B.</span> <span style=""font-weight:bold"">3rdParty Tools</span></p><p><span style=""font-weight:bold"">B.1 Interactive Trading Course</span></p><p>Wix Online Programs, It provides the following:</p><p>· Interactive Courses with Video upload if needed</p><p>· Quizzes per modules/per section</p><p>· Certificate upon completion</p><p>· Admin Dashboard to navigate/check trainees progress</p><p>· Additional minor features are included in this documentation: <br/>  <span style=""text-decoration:underline""><a href=https://support.wix.com/en/article/online-programs-an-overview target=undefined>Online Programs: An Overview | Help Center | Wix.com</a></span></p><p><span style=""font-weight:bold"">B.2 Trading Tools</span></p><p>· Lot Size Calculator – Calculation of potential trade size and risk management</p><p>· Usage of API to capture the proper forex symbol as well as its current position from market</p><p>· System calculation using the formula:  (Account Balance * Risk Percentage) / (Stop-Loss in Pips * Pip Value) = Lot Size.</p><p>API to use:</p><p><span style=""text-decoration:underline""><a href=https://www.alphavantage.co/documentation/ target=undefined>API Documentation | Alpha Vantage</a></span></p><p><span style=""font-weight:bold"">B.2 Trading Hours Map</span></p><p>· Informative page of trading hours for different timezone</p><p>· Database declared doesn’t need any API to capture</p><p><span style=""font-weight:bold"">C.</span> <span style=""font-weight:bold"">Techstack and Timeline</span></p><p><span style=""font-weight:bold"">C.1 Wix Studio</span></p><p>- Frontend</p><p>- Backend</p><p>- Database</p><p>Development Time 3-4 Weeks (giving the API implementation full week to implement)</p>","8a5bd08d-acdb-478c-844b-14b785d90dad","Documentation","FIL-592053",
,"2e53223f-2c61-49c7-9aba-5c9856eb4af7",2024-07-18T09:48:45Z,2024-07-18T09:48:45Z,"01f011dc-8d52-4de4-9524-780ccef3313b","ddd877f7-8b58-41b4-83f2-78e884eb5804","0936c80e-f162-4d57-9a08-47b2a24b60d0","<p><span style=""font-weight:bold"">I. Project Overview</span></p><p>This scope outlines the services provided for online Public Relations (PR) distribution of your original article to a target audience of over 2,000 online news websites.</p><p><span style=""font-weight:bold"">Please note:</span> Distributing an article to such a vast number of websites with guaranteed placement is unlikely. However, we can leverage various strategies to maximize the reach and potential pick-up of your article by relevant online publications.</p><p><span style=""font-weight:bold"">II. Pre-Distribution</span></p><ul><li><span style=""font-weight:bold"">Article Review &amp; Optimization:</span> We&#x27;ll review your article for newsworthiness, relevance to target audiences, and adherence to journalistic standards.</li><li><span style=""font-weight:bold"">Target Audience &amp; Media List Development:</span> We&#x27;ll collaborate with you to define your target audience and develop a comprehensive media list comprising relevant online news websites, industry publications, and blogs with a good domain authority.</li><li><span style=""font-weight:bold"">Press Release Creation (Optional):</span> We can craft a compelling press release summarizing your article&#x27;s key points to generate media interest.</li></ul><p><span style=""font-weight:bold"">III. Online PR Distribution Strategy</span></p><ul><li><span style=""font-weight:bold"">Press Release Distribution Services (Optional):</span> We can utilize paid press release distribution services to disseminate your press release (if created) to a wide network of online media outlets.</li><li><span style=""font-weight:bold"">Media Outreach &amp; Pitching:</span> We&#x27;ll conduct personalized email outreach to journalists, editors, and bloggers on your target media list, pitching your article and highlighting its newsworthy aspects.</li><li><span style=""font-weight:bold"">Social Media Promotion:</span> We&#x27;ll promote your article on your social media channels to generate additional online buzz and potential media attention.</li></ul><p><span style=""font-weight:bold"">IV. Reporting &amp; Monitoring</span></p><ul><li><span style=""font-weight:bold"">Distribution Report:</span> We&#x27;ll provide a comprehensive report detailing the media outlets contacted, the number of pitches sent, and any secured placements.</li><li><span style=""font-weight:bold"">Brand Mention Monitoring:</span> We&#x27;ll monitor online mentions of your brand and article to gauge the overall impact of the PR campaign.</li></ul>",,"Documentation","FIL-559243",
,"2fbcf1f6-6d2c-49ef-a820-e5cd5a03218e",2024-07-29T15:09:22Z,2024-08-05T07:18:06Z,"01f011dc-8d52-4de4-9524-780ccef3313b","b4886092-ca0c-4408-91a9-644555a7b790","3393a717-a333-48a2-a785-ba2eebc00f68","<p><span style=""font-weight:bold"">Website Design &amp; Development</span></p><p>· Database Creation</p><p>o Users</p><p>o Workshops</p><p>o Discounts</p><p>o Bookings</p><p>· Design and development of Homepage along with global headers and footers</p><p>· Design and development of 4 static subpages (Workshop, Coaching, Consultancy, FAQ).</p><p>· Design and development of 2 dynamic subpages for workshops (templates).</p><p>· Online forms</p><p>· Single language module (English)</p><p>· Redirection to Calendly (CTA)</p><p>· Custom Js chart integration</p><p>· Responsive breakpoints for Desktop, Tablet and Mobile</p><p>· Social media links connection</p><p>· SendGrid email integration</p><p> </p><p><span style=""font-weight:bold"">Website Settings</span></p><p>· Favicon Creation</p><p>· Basic SEO Optimisation</p><p>· Google Search Console Registration</p><p>· Google Analytics Integration</p><p> </p><p><span style=""font-weight:bold"">Note: Client is required to provide the following during development:</span></p><p>· Branding guidelines</p><p>· Image asset</p><p>· Text content</p><p>· Social media links</p><p>· Access to domain provider to connect the site</p><p>· Access to official email to be used on automated emails</p><p> </p><p><span style=""font-weight:bold"">Finalisation &amp; Launch</span></p><p>· Conduct thorough testing and debugging to ensure website functionality across different devices and browsers.</p><p>· Launch the website and provide handover documentation with login credentials and maintenance instructions.</p>",,"Documentation","FIL-673678",
,"35d34dae-c618-48fb-8a48-32ed8767730d",2024-07-29T10:19:11Z,2024-07-29T10:19:11Z,"01f011dc-8d52-4de4-9524-780ccef3313b","95f56020-38f5-4243-9485-5b776381ae67","3393a717-a333-48a2-a785-ba2eebc00f68","<p><span style=""font-weight:bold""><span style=""text-decoration:underline"">Clinic CRM System (Full Recreation of Hubspot)</span></span></p><p><span style=""font-weight:bold"">Marketing Module:</span></p><p>-Enables the creation, execution, and tracking of marketing campaigns across various channels such as email, social media, online advertising, and more.</p><p>-Facilitates lead generation activities through lead capture forms, landing pages, targeted outreach, and social media engagement.</p><p>-Manages social media advertising campaigns across platforms such as Facebook, Instagram, Twitter, LinkedIn, etc. Allows for the creation, targeting, and optimization of ads to reach specific audiences and objectives. Provides analytics and insights into ad performance.</p><p>-Provides insights into campaign performance, including metrics such as open rates, click-through rates, conversion rates, and social media engagement metrics like likes, shares, and comments.</p><p> </p><p><span style=""font-weight:bold"">Sales/Leads Module:</span></p><p>-Tracks leads through the sales pipeline from initial contact to conversion.</p><p>- Manages sales opportunities, including contact interactions, deal stages, and probability of closure.</p><p>-Provides visibility into sales performance metrics such as pipeline value, win/loss ratios, and sales forecasts.</p><p> </p><p><span style=""font-weight:bold"">Support Module:</span></p><p>-Manages customer support inquiries and issues through a centralized ticketing system.</p><p>Service Level Agreements (SLAs): Sets expectations for response times and resolution times for support tickets.</p><p> </p><p><span style=""font-weight:bold"">Finance Module:</span></p><p>-Manages invoicing processes, including generation, distribution, and tracking of invoices.</p><p>-Tracks expenses incurred by the organization and categorizes them for budgeting and reporting purposes.</p><p> </p><p><span style=""font-weight:bold"">Reports Module:</span></p><p>- Allows users to create and customize reports tailored to their specific needs and preferences.</p><p>-Automatically generates and delivers reports on a scheduled basis to relevant stakeholders.</p><p> </p><p><span style=""font-weight:bold"">Contacts Module:</span></p><p>-Stores and organizes contact information for leads, customers, partners, and other stakeholders.</p><p>-Segments contacts into groups based on criteria such as demographics, behaviors, or interests for targeted communication.</p><p>-Integrates seamlessly with other modules such as marketing, sales, and support for a unified view of customer interactions.</p><p> </p><p><span style=""font-weight:bold"">Main Dashboard:</span></p><p>- Provides a centralized view of important metrics and KPIs across various aspects of the business.</p><p>- Updates in real-time to provide the latest information and insights.</p><p>-Shortcuts and links to frequently accessed features or tasks for streamlined navigation and productivity.</p>",,"Documentation","FIL-529328",
